paperId,url,reason
c42c29c793f3b8518a313d03fa101b1201a8ad14,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ett.4150,download failed (all retries) for https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ett.4150
82f305d3cb1a82fb6d4a5fcabb4fda40cb2b05e0,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09562531.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09562531.pdf
a0574a8958e9cfc5fc49bb40bc95cbfd0c190eb1,https://journals.sagepub.com/doi/pdf/10.1155/2013/167575,download failed (all retries) for https://journals.sagepub.com/doi/pdf/10.1155/2013/167575
39361b3507c9f8b0a97780568b645f80a208d78a,https://doi.org/10.1109/access.2018.2836950,download failed (all retries) for https://doi.org/10.1109/access.2018.2836950
4a8c332b09bb99333a8bce6a4640a20c1352aa63,https://doi.org/10.1109/access.2018.2805680,download failed (all retries) for https://doi.org/10.1109/access.2018.2805680
6083bd8cdb810ce3d4f4bb9a004cac2a58b424eb,https://doi.org/10.1109/comst.2019.2910750,download failed (all retries) for https://doi.org/10.1109/comst.2019.2910750
a30b4b52b1e7b0aff4a5085cdc43ace30ca66f5e,https://doi.org/10.1109/access.2018.2799854,download failed (all retries) for https://doi.org/10.1109/access.2018.2799854
9196214e8f81b4a6efda6c8891a6365bccf865df,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09877919.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09877919.pdf
b6550136304974682bde7ca9b2a8e21c2ea91982,https://doi.org/10.1016/j.comnet.2021.108661,download failed (all retries) for https://doi.org/10.1016/j.comnet.2021.108661
bfab9d89e492baa47b4fce6bc5d6be6e6def6842,https://doi.org/10.1016/j.procs.2020.04.133,download failed (all retries) for https://doi.org/10.1016/j.procs.2020.04.133
310a06c774cfdef1f011a44920638ad52658c860,https://dl.acm.org/doi/pdf/10.1145/3570954,download failed (all retries) for https://dl.acm.org/doi/pdf/10.1145/3570954
4c30d041c137948aa75e40912f14558234bf1ce2,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09277523.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09277523.pdf
5e2ef6abd77e9d3512e4f9ba694d7c6ad35c8db5,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09875264.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09875264.pdf
082be2d2cef8cbc59b887680e767ffdc7bdfbda5,https://doi.org/10.1109/comst.2021.3106669,download failed (all retries) for https://doi.org/10.1109/comst.2021.3106669
b1754f209110eb0dd13cf2ccf35b7f113b7e65ef,https://dl.acm.org/doi/pdf/10.1145/3344382,download failed (all retries) for https://dl.acm.org/doi/pdf/10.1145/3344382
6de07e7fdd519d734bd7dc00568f2ab16bd50725,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09980352.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09980352.pdf
b355307e85e0e0f5d98c177ef3540d00322b68f4,https://journals.sagepub.com/doi/pdf/10.1177/1550147718794615,download failed (all retries) for https://journals.sagepub.com/doi/pdf/10.1177/1550147718794615
97dd14f4a8310e3c1c8f34d467987e0c84fe4d74,https://doi.org/10.1016/j.jjimei.2022.100134,download failed (all retries) for https://doi.org/10.1016/j.jjimei.2022.100134
09a0970289b496e65b15de950fba7a1d769310fd,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09941074.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09941074.pdf
1d3d953363a6a3070c3a87c940af432edba24e18,https://downloads.hindawi.com/journals/scn/2022/4016073.pdf,download failed (all retries) for https://downloads.hindawi.com/journals/scn/2022/4016073.pdf
c379614c0cb651514fb72361851830d56fa9a741,https://doi.org/10.55214/25768484.v8i6.2930,download failed (all retries) for https://doi.org/10.55214/25768484.v8i6.2930
ba2684fadde45d367b7c3560c4d8ffbccde236b9,https://link.springer.com/content/pdf/10.1007/s00521-019-04557-3.pdf,download failed (all retries) for https://link.springer.com/content/pdf/10.1007/s00521-019-04557-3.pdf
21bf70902375e7b9698fd691b58b457ccc808920,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09285284.pdf,download failed (all retries) for https://ieeexplore.ieee.org/ielx7/6287639/6514899/09285284.pdf
83f3d93161f5651e3999fadcbe1d6f1886683299,https://dl.acm.org/doi/pdf/10.1145/3472753,download failed (all retries) for https://dl.acm.org/doi/pdf/10.1145/3472753
96ba9f36c1df479744e2ea66663e544a4bd55747,https://doi.org/10.1109/mdat.2019.2899062,download failed (all retries) for https://doi.org/10.1109/mdat.2019.2899062
dfd03e0a154587e864d6d53d49e216738091aa30,https://doi.org/10.1016/j.procs.2020.03.330,download failed (all retries) for https://doi.org/10.1016/j.procs.2020.03.330
05ebbd7487e50f28ee1f19f5303d1ee6c20f24fb,https://dl.acm.org/doi/pdf/10.1145/3510581,download failed (all retries) for https://dl.acm.org/doi/pdf/10.1145/3510581
1efa4ab774c8313b896d482feee5a9768851e8b4,https://doi.org/10.1016/j.proeng.2012.06.248,download failed (all retries) for https://doi.org/10.1016/j.proeng.2012.06.248
2caa42c15671810c8236ac553753eec1d83f7e48,https://dl.acm.org/doi/pdf/10.1145/3424155,download failed (all retries) for https://dl.acm.org/doi/pdf/10.1145/3424155
4d813aef94af6d7e1e3decae09c840fae0531579,https://doi.org/10.36548/jitdw.2020.3.004,download failed (all retries) for https://doi.org/10.36548/jitdw.2020.3.004
6d7b1e32a3c8bb8cf4f51f4c0561146c437bc766,https://iopscience.iop.org/article/10.1088/1742-6596/1000/1/012049/pdf,download failed (all retries) for https://iopscience.iop.org/article/10.1088/1742-6596/1000/1/012049/pdf
84c6d57ea39815778b7f07f8f424dc7560437503,https://dl.acm.org/doi/pdf/10.1145/3578366,download failed (all retries) for https://dl.acm.org/doi/pdf/10.1145/3578366
8c6f39039d72951db9d2c6073018258ed9306c06,https://downloads.hindawi.com/journals/scn/2021/9947059.pdf,download failed (all retries) for https://downloads.hindawi.com/journals/scn/2021/9947059.pdf
abc1e735b100dd464c0de6b71d319b29bddbfc36,https://doi.org/10.1109/access.2018.2872784,download failed (all retries) for https://doi.org/10.1109/access.2018.2872784
6906431861dff300461e595f756c13c95a9507cb,http://puma.isti.cnr.it/rmydownload.php?filename=cnr.iit/cnr.iit/2011-TR-026/2011-TR-026.pdf,download failed (all retries) for http://puma.isti.cnr.it/rmydownload.php?filename=cnr.iit/cnr.iit/2011-TR-026/2011-TR-026.pdf
ea5f9c473fe187e9db6251a07504eeb7f71116c1,https://doi.org/10.1016/j.jnca.2023.103761,download failed (all retries) for https://doi.org/10.1016/j.jnca.2023.103761
